Mountain,Height (m),Prominence (m),Range,First ascent,Ascents bef. 2004,Failed attempts bef. 2004,Total attempts,Success rate,Difficulty
Nanga Parbat,8126,4608,Nanga Parbat Himalaya,1953,52,67,119,43.69747899159664,1.0
Makalu,8485,2386,Mahalangur Himalaya,1955,45,52,97,46.391752577319586,0.767786330218362
Annapurna I,8091,2984,Annapurna Himalaya,1950,36,47,83,43.373493975903614,0.7026889187047369
Manaslu,8163,3092,Manaslu Himalaya,1956,49,45,94,52.12765957446809,0.6621693095005109
K2 / Qogir / Godwin Austen,8611,4017,Baltoro Karakoram,1954,45,44,89,50.56179775280899,0.6463636434966143
Dhaulagiri I,8167,3357,Dhaulagiri Himalaya,1960,51,39,90,56.666666666666664,0.5832090621715816
Cho Oyu,8188,2340,Mahalangur Himalaya,1954,79,28,107,73.83177570093457,0.5321693830175408
Annapurna II,7937,2437,Annapurna Himalaya,1960,6,19,25,24.0,0.3825059435538922
Lhotse,8516,610,Mahalangur Himalaya,1956,26,26,52,50.0,0.38189393404420596
Kangchenjunga,8586,3922,Kangchenjunga Himalaya,1955,38,24,62,61.29032258064516,0.3714575613527145
Shishapangma,8027,2897,Jugal Himalaya,1964,43,19,62,69.35483870967742,0.3282648216605384
Broad Peak / K3,8051,1701,Baltoro Karakoram,1957,39,19,58,67.24137931034483,0.31673846008991835
Baintha Brakk / The Ogre,7285,1891,Panmah Karakoram,1977,3,13,16,18.75,0.31334886895934855
Gasherbrum II / K4,8035,1524,Baltoro Karakoram,1956,54,12,66,81.81818181818183,0.2962126026881341
Annapurna III,7555,703,Annapurna Himalaya,1961,10,17,27,37.03703703703704,0.26769295953675587
Dhaulagiri IV,7661,469,Dhaulagiri Himalaya,1975,2,10,12,16.666666666666664,0.26438810818445035
Gasherbrum I / Hidden Peak / K5,8080,2155,Baltoro Karakoram,1958,31,16,47,65.95744680851064,0.26166367875423413
Annapurna Dakshin,7219,775,Annapurna Himalaya,1964,10,16,26,38.46153846153847,0.24823105712873386
Kamet,7756,2825,Garhwal Himalaya,1931,23,14,37,62.16216216216216,0.2185672222853336
Nuptse,7864,319,Mahalangur Himalaya,1961,5,12,17,29.411764705882355,0.2122448979591837
Gasherbrum IV,7932,715,Baltoro Karakoram,1958,4,11,15,26.666666666666668,0.20655320951910178
Dhaulagiri II,7751,2396,Dhaulagiri Himalaya,1971,4,11,15,26.666666666666668,0.20655320951910178
Gangapurna,7455,563,Annapurna Himalaya,1965,8,13,21,38.095238095238095,0.20242214532871974
Rakaposhi,7788,2818,Rakaposhi-Haramosh Karakoram,1958,8,13,21,38.095238095238095,0.20242214532871974
Himalchuli,7893,1633,Manaslu Himalaya,1960,6,12,18,33.33333333333333,0.1982910811383377
Langtang Lirung,7227,1525,Langtang Himalaya,1978,14,13,27,51.85185185185185,0.19120925681196854
Jannu,7711,1036,Kangchenjunga Himalaya,1962,17,12,29,58.620689655172406,0.18165882269862968
Kirat Chuli,7362,1168,Kangchenjunga Himalaya,1939,1,6,7,14.285714285714285,0.17993079584775093
Yangra / Ganesh I,7422,2352,Ganesh Himalaya,1955,1,6,7,14.285714285714285,0.17993079584775093
